"","country","iso3c","WHO_region","income_g","year","pop","pop_name"
"1864","Nepal","NPL","SEARO","Lower middle income",2031,2565051.5,"6-59mo"
"1865","Netherlands","NLD","EURO","High income",2031,915648,"6-59mo"
"1866","New Zealand","NZL","WPRO","High income",2031,287763,"6-59mo"
"1867","Nicaragua","NIC","AMRO","Lower middle income",2031,638243,"6-59mo"
"1868","Niger","NER","AFRO","Low income",2031,5501987.5,"6-59mo"
"1869","Nigeria","NGA","AFRO","Lower middle income",2031,36333092,"6-59mo"
"1870","Norway","NOR","EURO","High income",2031,266650,"6-59mo"
"1871","Oman","OMN","EMRO","High income",2031,483141,"6-59mo"
"1872","Pakistan","PAK","EMRO","Lower middle income",2031,33362139,"6-59mo"
"1873","Panama","PAN","AMRO","High income",2031,354995,"6-59mo"
"1874","Papua New Guinea","PNG","SEARO","Lower middle income",2031,1251741.5,"6-59mo"
"1875","Paraguay","PRY","AMRO","Upper middle income",2031,648237.5,"6-59mo"
"1876","Peru","PER","AMRO","Upper middle income",2031,2601841,"6-59mo"
"1877","Philippines","PHL","WPRO","Lower middle income",2031,9125339,"6-59mo"
"1878","Poland","POL","EURO","High income",2031,1330923.5,"6-59mo"
"1879","Portugal","PRT","EURO","High income",2031,428915,"6-59mo"
"1880","Qatar","QAT","EMRO","High income",2031,181866.5,"6-59mo"
"1881","Romania","ROU","EURO","High income",2031,844092.5,"6-59mo"
"1882","Russian Federation","RUS","EURO","Upper middle income",2031,6041633.5,"6-59mo"
"1883","Rwanda","RWA","AFRO","Low income",2031,2035187,"6-59mo"
"1884","Saint Lucia","LCA","AMRO","Upper middle income",2031,9343.5,"6-59mo"
"1885","Saint Vincent and the Grenadines","VCT","AMRO","Upper middle income",2031,5397,"6-59mo"
"1886","Samoa","WSM","WPRO","Lower middle income",2031,26060,"6-59mo"
"1887","Sao Tome And Principe","STP","AFRO","Lower middle income",2031,34347,"6-59mo"
"1888","Saudi Arabia","SAU","EMRO","High income",2031,2964214,"6-59mo"
"1889","Senegal","SEN","AFRO","Lower middle income",2031,2790259,"6-59mo"
"1890","Serbia","SRB","EURO","Upper middle income",2031,273932.5,"6-59mo"
"1891","Seychelles","SYC","AFRO","High income",2031,8868.5,"6-59mo"
"1892","Sierra Leone","SLE","AFRO","Low income",2031,1210166,"6-59mo"
"1893","Singapore","SGP","WPRO","High income",2031,256802.5,"6-59mo"
"1894","Slovakia","SVK","EURO","High income",2031,227659.5,"6-59mo"
"1895","Slovenia","SVN","EURO","High income",2031,82790,"6-59mo"
"1896","Solomon Islands","SLB","WPRO","Lower middle income",2031,114525.5,"6-59mo"
"1897","Somalia","SOM","EMRO","Low income",2031,3992164,"6-59mo"
"1898","South Africa","ZAF","AFRO","Upper middle income",2031,5681372,"6-59mo"
"1899","South Sudan","SSD","AFRO","Low income",2031,1784954.5,"6-59mo"
"1900","Spain","ESP","EURO","High income",2031,1635481,"6-59mo"
"1901","Sri Lanka","LKA","SEARO","Lower middle income",2031,1546558,"6-59mo"
"1902","Sudan","SDN","EMRO","Low income",2031,8322158,"6-59mo"
"1903","Suriname","SUR","AMRO","Upper middle income",2031,52747.5,"6-59mo"
"1904","Sweden","SWE","EURO","High income",2031,485984.5,"6-59mo"
"1905","Switzerland","CHE","EURO","High income",2031,396639.5,"6-59mo"
"1906","Syrian Arab Republic","SYR","EMRO","Low income",2031,3310456.5,"6-59mo"
"1907","Tajikistan","TJK","EURO","Lower middle income",2031,1276241,"6-59mo"
"1908","Tanzania, United Republic of","TZA","AFRO","Lower middle income",2031,12377544.5,"6-59mo"
"1909","Thailand","THA","SEARO","Upper middle income",2031,2776760.5,"6-59mo"
"1910","Timor-Leste","TLS","SEARO","Lower middle income",2031,150682.5,"6-59mo"
"1911","Togo","TGO","AFRO","Low income",2031,1474368.5,"6-59mo"
"1912","Tonga","TON","WPRO","Upper middle income",2031,10764.5,"6-59mo"
"1913","Trinidad and Tobago","TTO","AMRO","High income",2031,72312.5,"6-59mo"
"1914","Tunisia","TUN","EMRO","Lower middle income",2031,737908,"6-59mo"
"1915","Turkey","TUR","EURO","Upper middle income",2031,5024333.5,"6-59mo"
"1916","Turkmenistan","TKM","EURO","Upper middle income",2031,690967,"6-59mo"
"1917","Uganda","UGA","AFRO","Low income",2031,8542432.5,"6-59mo"
"1918","Ukraine","UKR","EURO","Lower middle income",2031,1179440.5,"6-59mo"
"1919","United Arab Emirates","ARE","EMRO","High income",2031,720150.5,"6-59mo"
"1920","United Kingdom","GBR","EURO","High income",2031,3487477,"6-59mo"
"1921","United States of America","USA","AMRO","High income",2031,18808776.5,"6-59mo"
"1922","Uruguay","URY","AMRO","High income",2031,162259,"6-59mo"
"1923","Uzbekistan","UZB","EURO","Lower middle income",2031,4301583,"6-59mo"
"1924","Vanuatu","VUT","WPRO","Lower middle income",2031,46458,"6-59mo"
"1925","Venezuela","VEN","AMRO","Upper middle income",2031,2187170,"6-59mo"
"1926","Viet Nam","VNM","WPRO","Lower middle income",2031,6307576,"6-59mo"
"1927","Yemen","YEM","EMRO","Low income",2031,6821740.5,"6-59mo"
"1928","Zambia","ZMB","AFRO","Lower middle income",2031,3590013,"6-59mo"
"1929","Zimbabwe","ZWE","AFRO","Lower middle income",2031,2505910,"6-59mo"
"1930","Andorra","AND","EURO","High income",2031,3021.5,"6-59mo"
"1931","Antigua And Barbuda","ATG","AMRO","High income",2031,5242.5,"6-59mo"
"1932","Cook Islands","COK","WPRO","High income",2031,489.5,"6-59mo"
"1933","Marshall Islands","MHL","WPRO","Upper middle income",2031,2713.5,"6-59mo"
"1934","Monaco","MCO","EURO","High income",2031,1891,"6-59mo"
"1935","Nauru","NRU","WPRO","High income",2031,1392,"6-59mo"
"1936","Niue","NIU",NA,"#/NA",2031,145,"6-59mo"
"1937","Palau","PLW","WPRO","High income",2031,888,"6-59mo"
"1938","Saint Kitts and Nevis","KNA","AMRO","High income",2031,2502.5,"6-59mo"
"1939","San Marino","SMR","EURO","High income",2031,1045,"6-59mo"
"1940","Tuvalu","TUV","WPRO","Upper middle income",2031,829,"6-59mo"
"1941","Afghanistan","AFG","EMRO","Low income",2032,7550042.5,"6-59mo"
"1942","Albania","ALB","EURO","Upper middle income",2032,113367.5,"6-59mo"
"1943","Algeria","DZA","AFRO","Lower middle income",2032,3830691.5,"6-59mo"
"1944","Angola","AGO","AFRO","Lower middle income",2032,7415498,"6-59mo"
"1945","Argentina","ARG","AMRO","Upper middle income",2032,2560957,"6-59mo"
"1946","Armenia","ARM","EURO","Upper middle income",2032,143993.5,"6-59mo"
"1947","Australia","AUS","WPRO","High income",2032,1539288.5,"6-59mo"
"1948","Austria","AUT","EURO","High income",2032,359278,"6-59mo"
"1949","Azerbaijan","AZE","EURO","Upper middle income",2032,607769,"6-59mo"
"1950","Bahamas","BHS","AMRO","High income",2032,21127.5,"6-59mo"
"1951","Bahrain","BHR","EMRO","High income",2032,108493,"6-59mo"
"1952","Bangladesh","BGD","SEARO","Lower middle income",2032,16088413.5,"6-59mo"
"1953","Barbados","BRB","AMRO","High income",2032,14919.5,"6-59mo"
"1954","Belarus","BLR","EURO","Upper middle income",2032,293951,"6-59mo"
"1955","Belgium","BEL","EURO","High income",2032,509113.5,"6-59mo"
"1956","Belize","BLZ","AMRO","Upper middle income",2032,35874.5,"6-59mo"
"1957","Benin","BEN","AFRO","Lower middle income",2032,2410799,"6-59mo"
"1958","Bhutan","BTN","SEARO","Lower middle income",2032,47554.5,"6-59mo"
"1959","Bolivia","BOL","AMRO","Lower middle income",2032,1266683.5,"6-59mo"
"1960","Bosnia and Herzegovina","BIH","EURO","Upper middle income",2032,115024,"6-59mo"
"1961","Botswana","BWA","AFRO","Upper middle income",2032,287048.5,"6-59mo"
"1962","Brazil","BRA","AMRO","Upper middle income",2032,11829274.5,"6-59mo"
"1963","Brunei Darussalam","BRN","WPRO","High income",2032,28468,"6-59mo"
"1964","Bulgaria","BGR","EURO","Upper middle income",2032,276631,"6-59mo"
"1965","Burkina Faso","BFA","AFRO","Low income",2032,3604701,"6-59mo"
"1966","Burundi","BDI","AFRO","Low income",2032,2384403,"6-59mo"
"1967","Cambodia","KHM","WPRO","Lower middle income",2032,1698319.5,"6-59mo"
"1968","Cameroon","CMR","AFRO","Lower middle income",2032,4917706.5,"6-59mo"
"1969","Canada","CAN","AMRO","High income",2032,1899494,"6-59mo"
"1970","Cape Verde","CPV","AFRO","Lower middle income",2032,30623,"6-59mo"
"1971","Central African Republic","CAF","AFRO","Low income",2032,1255702,"6-59mo"
"1972","Chad","TCD","AFRO","Low income",2032,4368932.5,"6-59mo"
"1973","Chile","CHL","AMRO","High income",2032,841906.5,"6-59mo"
"1974","China","CHN","WPRO","Upper middle income",2032,41681943.5,"6-59mo"
"1975","Colombia","COL","AMRO","Upper middle income",2032,3299595,"6-59mo"
"1976","Comoros","COM","AFRO","Lower middle income",2032,120332.5,"6-59mo"
"1977","Congo","COG","AFRO","Lower middle income",2032,1029070,"6-59mo"
"1978","Costa Rica","CRI","AMRO","Upper middle income",2032,244470,"6-59mo"
"1979","Côte d'Ivoire","CIV","AFRO","Lower middle income",2032,5126960.5,"6-59mo"
"1980","Croatia","HRV","EURO","High income",2032,148407.5,"6-59mo"
"1981","Cuba","CUB","AMRO","Upper middle income",2032,437124,"6-59mo"
"1982","Cyprus","CYP","EURO","High income",2032,65919,"6-59mo"
"1983","Czech Republic","CZE","EURO","High income",2032,409243,"6-59mo"
"1984","Democratic Peoples Republic of Korea","PRK","SEARO","Low income",2032,1500103,"6-59mo"
"1985","Democratic Republic of the Congo","COD","AFRO","Low income",2032,23251356.5,"6-59mo"
"1986","Denmark","DNK","EURO","High income",2032,303368.5,"6-59mo"
"1987","Djibouti","DJI","EMRO","Lower middle income",2032,119496,"6-59mo"
"1988","Dominica","DMA","AMRO","Upper middle income",2032,3190.5,"6-59mo"
"1989","Dominican Republic","DOM","AMRO","Upper middle income",2032,920097,"6-59mo"
"1990","Ecuador","ECU","AMRO","Upper middle income",2032,1311486,"6-59mo"
"1991","Egypt","EGY","EMRO","Lower middle income",2032,12438733.5,"6-59mo"
"1992","El Salvador","SLV","AMRO","Upper middle income",2032,457737.5,"6-59mo"
"1993","Equatorial Guinea","GNQ","AFRO","Upper middle income",2032,286017,"6-59mo"
"1994","Eritrea","ERI","AFRO","Low income",2032,540232,"6-59mo"
"1995","Estonia","EST","EURO","High income",2032,48139,"6-59mo"
"1996","Eswatini","SWZ","AFRO","Lower middle income",2032,135399.5,"6-59mo"
"1997","Ethiopia","ETH","AFRO","Low income",2032,20930140,"6-59mo"
"1998","Fiji","FJI","WPRO","Upper middle income",2032,78031.5,"6-59mo"
"1999","Finland","FIN","EURO","High income",2032,220604,"6-59mo"
"2000","France","FRA","EURO","High income",2032,3235842,"6-59mo"
"2001","Gabon","GAB","AFRO","Upper middle income",2032,347193,"6-59mo"
"2002","Gambia","GMB","AFRO","Low income",2032,401018.5,"6-59mo"
"2003","Georgia","GEO","EURO","Upper middle income",2032,198687,"6-59mo"
"2004","Germany","DEU","EURO","High income",2032,3346523,"6-59mo"
"2005","Ghana","GHA","AFRO","Lower middle income",2032,4483032,"6-59mo"
"2006","Greece","GRC","EURO","High income",2032,333488,"6-59mo"
"2007","Grenada","GRD","AMRO","Upper middle income",2032,6096.5,"6-59mo"
"2008","Guatemala","GTM","AMRO","Upper middle income",2032,1869216,"6-59mo"
"2009","Guinea","GIN","AFRO","Lower middle income",2032,2347642,"6-59mo"
"2010","Guinea-Bissau","GNB","AFRO","Low income",2032,320327,"6-59mo"
"2011","Guyana","GUY","AMRO","High income",2032,75140.5,"6-59mo"
"2012","Haiti","HTI","AMRO","Lower middle income",2032,1206205,"6-59mo"
"2013","Honduras","HND","AMRO","Lower middle income",2032,1146901,"6-59mo"
"2014","Hungary","HUN","EURO","High income",2032,404547.5,"6-59mo"
"2015","Iceland","ISL","EURO","High income",2032,21520,"6-59mo"
"2016","India","IND","SEARO","Lower middle income",2032,110525446,"6-59mo"
"2017","Indonesia","IDN","SEARO","Upper middle income",2032,21440890.5,"6-59mo"
"2018","Iran, Islamic Republic of","IRN","EMRO","Lower middle income",2032,5184852,"6-59mo"
"2019","Iraq","IRQ","EMRO","Upper middle income",2032,6104576,"6-59mo"
"2020","Ireland","IRL","EURO","High income",2032,278232.5,"6-59mo"
"2021","Israel","ISR","EURO","High income",2032,883858,"6-59mo"
"2022","Italy","ITA","EURO","High income",2032,1888802.5,"6-59mo"
"2023","Jamaica","JAM","AMRO","Upper middle income",2032,141666.5,"6-59mo"
"2024","Japan","JPN","WPRO","High income",2032,3788962.5,"6-59mo"
"2025","Jordan","JOR","EMRO","Lower middle income",2032,1155375,"6-59mo"
"2026","Kazakhstan","KAZ","EURO","Upper middle income",2032,1923959.5,"6-59mo"
"2027","Kenya","KEN","AFRO","Lower middle income",2032,7814893.5,"6-59mo"
"2028","Kiribati","KIR","WPRO","Lower middle income",2032,16030,"6-59mo"
"2029","Korea, Republic of","KOR","WPRO","High income",2032,1295327,"6-59mo"
"2030","Kuwait","KWT","EMRO","High income",2032,296086,"6-59mo"
"2031","Kyrgyzstan","KGZ","EURO","Lower middle income",2032,737843,"6-59mo"
"2032","Lao People's Democratic Republic","LAO","WPRO","Lower middle income",2032,754555,"6-59mo"
"2033","Latvia","LVA","EURO","High income",2032,63165,"6-59mo"
"2034","Lebanon","LBN","EMRO","Lower middle income",2032,465768.5,"6-59mo"
"2035","Lesotho","LSO","AFRO","Lower middle income",2032,260190.5,"6-59mo"
"2036","Liberia","LBR","AFRO","Low income",2032,850546,"6-59mo"
"2037","Libya","LBY","EMRO","Upper middle income",2032,588637,"6-59mo"
"2038","Lithuania","LTU","EURO","High income",2032,99496.5,"6-59mo"
"2039","Luxembourg","LUX","EURO","High income",2032,35270.5,"6-59mo"
"2040","Macedonia, the former Yugoslav Republic of","MKD","EURO","Upper middle income",2032,74132,"6-59mo"
"2041","Madagascar","MDG","AFRO","Low income",2032,5071683,"6-59mo"
"2042","Malawi","MWI","AFRO","Low income",2032,3512324.5,"6-59mo"
"2043","Malaysia","MYS","WPRO","Upper middle income",2032,2278969,"6-59mo"
"2044","Maldives","MDV","SEARO","Upper middle income",2032,23985,"6-59mo"
"2045","Mali","MLI","AFRO","Low income",2032,4989447,"6-59mo"
"2046","Malta","MLT","EURO","High income",2032,19887.5,"6-59mo"
"2047","Mauritania","MRT","AFRO","Lower middle income",2032,927401.5,"6-59mo"
"2048","Mauritius","MUS","AFRO","Upper middle income",2032,52781.5,"6-59mo"
"2049","Mexico","MEX","AMRO","Upper middle income",2032,9582034.5,"6-59mo"
"2050","Micronesia, Federated States of","FSM","WPRO","Lower middle income",2032,11863,"6-59mo"
"2051","Moldova, Republic of","MDA","EURO","Upper middle income",2032,134909.5,"6-59mo"
"2052","Mongolia","MNG","WPRO","Lower middle income",2032,292863,"6-59mo"
"2053","Montenegro","MNE","EURO","Upper middle income",2032,30871,"6-59mo"
"2054","Morocco","MAR","EMRO","Lower middle income",2032,2938908.5,"6-59mo"
"2055","Mozambique","MOZ","AFRO","Low income",2032,6584896,"6-59mo"
"2056","Myanmar","MMR","SEARO","Lower middle income",2032,4116407.5,"6-59mo"
"2057","Namibia","NAM","AFRO","Upper middle income",2032,387702.5,"6-59mo"
"2058","Nepal","NPL","SEARO","Lower middle income",2032,2546111,"6-59mo"
"2059","Netherlands","NLD","EURO","High income",2032,918275.5,"6-59mo"
"2060","New Zealand","NZL","WPRO","High income",2032,285766.5,"6-59mo"
"2061","Nicaragua","NIC","AMRO","Lower middle income",2032,635041.5,"6-59mo"
"2062","Niger","NER","AFRO","Low income",2032,5576937,"6-59mo"
"2063","Nigeria","NGA","AFRO","Lower middle income",2032,36629149,"6-59mo"
"2064","Norway","NOR","EURO","High income",2032,265989,"6-59mo"
"2065","Oman","OMN","EMRO","High income",2032,480704,"6-59mo"
"2066","Pakistan","PAK","EMRO","Lower middle income",2032,33685894.5,"6-59mo"
"2067","Panama","PAN","AMRO","High income",2032,354812,"6-59mo"
"2068","Papua New Guinea","PNG","SEARO","Lower middle income",2032,1254687,"6-59mo"
"2069","Paraguay","PRY","AMRO","Upper middle income",2032,644486,"6-59mo"
"2070","Peru","PER","AMRO","Upper middle income",2032,2586271,"6-59mo"
"2071","Philippines","PHL","WPRO","Lower middle income",2032,9163667,"6-59mo"
"2072","Poland","POL","EURO","High income",2032,1305362,"6-59mo"
"2073","Portugal","PRT","EURO","High income",2032,428939,"6-59mo"
"2074","Qatar","QAT","EMRO","High income",2032,185894.5,"6-59mo"
"2075","Romania","ROU","EURO","High income",2032,836944.5,"6-59mo"
"2076","Russian Federation","RUS","EURO","Upper middle income",2032,6028759,"6-59mo"
"2077","Rwanda","RWA","AFRO","Low income",2032,2051021,"6-59mo"
"2078","Saint Lucia","LCA","AMRO","Upper middle income",2032,9219.5,"6-59mo"
"2079","Saint Vincent and the Grenadines","VCT","AMRO","Upper middle income",2032,5365.5,"6-59mo"
"2080","Samoa","WSM","WPRO","Lower middle income",2032,26360.5,"6-59mo"
"2081","Sao Tome And Principe","STP","AFRO","Lower middle income",2032,34752.5,"6-59mo"
"2082","Saudi Arabia","SAU","EMRO","High income",2032,2974423,"6-59mo"
"2083","Senegal","SEN","AFRO","Lower middle income",2032,2822421.5,"6-59mo"
"2084","Serbia","SRB","EURO","Upper middle income",2032,270648,"6-59mo"
"2085","Seychelles","SYC","AFRO","High income",2032,8775.5,"6-59mo"
"2086","Sierra Leone","SLE","AFRO","Low income",2032,1213745,"6-59mo"
"2087","Singapore","SGP","WPRO","High income",2032,256387.5,"6-59mo"
"2088","Slovakia","SVK","EURO","High income",2032,223930,"6-59mo"
"2089","Slovenia","SVN","EURO","High income",2032,82306.5,"6-59mo"
"2090","Solomon Islands","SLB","WPRO","Lower middle income",2032,115949.5,"6-59mo"
"2091","Somalia","SOM","EMRO","Low income",2032,4044876.5,"6-59mo"
"2092","South Africa","ZAF","AFRO","Upper middle income",2032,5658877,"6-59mo"
"2093","South Sudan","SSD","AFRO","Low income",2032,1816269.5,"6-59mo"
"2094","Spain","ESP","EURO","High income",2032,1629490.5,"6-59mo"
"2095","Sri Lanka","LKA","SEARO","Lower middle income",2032,1540984,"6-59mo"
"2096","Sudan","SDN","EMRO","Low income",2032,8381304.5,"6-59mo"
"2097","Suriname","SUR","AMRO","Upper middle income",2032,52589.5,"6-59mo"
"2098","Sweden","SWE","EURO","High income",2032,484025.5,"6-59mo"
"2099","Switzerland","CHE","EURO","High income",2032,391152.5,"6-59mo"
"2100","Syrian Arab Republic","SYR","EMRO","Low income",2032,3345825,"6-59mo"
"2101","Tajikistan","TJK","EURO","Lower middle income",2032,1285746,"6-59mo"
"2102","Tanzania, United Republic of","TZA","AFRO","Lower middle income",2032,12568244,"6-59mo"
"2103","Thailand","THA","SEARO","Upper middle income",2032,2763799,"6-59mo"
"2104","Timor-Leste","TLS","SEARO","Lower middle income",2032,151289.5,"6-59mo"
"2105","Togo","TGO","AFRO","Low income",2032,1495059.5,"6-59mo"
"2106","Tonga","TON","WPRO","Upper middle income",2032,10751,"6-59mo"
"2107","Trinidad and Tobago","TTO","AMRO","High income",2032,71350.5,"6-59mo"
"2108","Tunisia","TUN","EMRO","Lower middle income",2032,726842.5,"6-59mo"
"2109","Turkey","TUR","EURO","Upper middle income",2032,4984477,"6-59mo"
"2110","Turkmenistan","TKM","EURO","Upper middle income",2032,682626.5,"6-59mo"
"2111","Uganda","UGA","AFRO","Low income",2032,8574200.5,"6-59mo"
"2112","Ukraine","UKR","EURO","Lower middle income",2032,1172380,"6-59mo"
"2113","United Arab Emirates","ARE","EMRO","High income",2032,742208,"6-59mo"
"2114","United Kingdom","GBR","EURO","High income",2032,3487833.5,"6-59mo"
"2115","United States of America","USA","AMRO","High income",2032,18886053.5,"6-59mo"
"2116","Uruguay","URY","AMRO","High income",2032,162024,"6-59mo"
"2117","Uzbekistan","UZB","EURO","Lower middle income",2032,4268499.5,"6-59mo"
"2118","Vanuatu","VUT","WPRO","Lower middle income",2032,47004,"6-59mo"
"2119","Venezuela","VEN","AMRO","Upper middle income",2032,2205996,"6-59mo"
"2120","Viet Nam","VNM","WPRO","Lower middle income",2032,6291817,"6-59mo"
"2121","Yemen","YEM","EMRO","Low income",2032,6827793,"6-59mo"
"2122","Zambia","ZMB","AFRO","Lower middle income",2032,3639789,"6-59mo"
"2123","Zimbabwe","ZWE","AFRO","Lower middle income",2032,2542089,"6-59mo"
"2124","Andorra","AND","EURO","High income",2032,3000.5,"6-59mo"
"2125","Antigua And Barbuda","ATG","AMRO","High income",2032,5190.5,"6-59mo"
"2126","Cook Islands","COK","WPRO","High income",2032,483,"6-59mo"
"2127","Marshall Islands","MHL","WPRO","Upper middle income",2032,2690,"6-59mo"
"2128","Monaco","MCO","EURO","High income",2032,1897.5,"6-59mo"
"2129","Nauru","NRU","WPRO","High income",2032,1410,"6-59mo"
"2130","Niue","NIU",NA,"#/NA",2032,149,"6-59mo"
"2131","Palau","PLW","WPRO","High income",2032,885,"6-59mo"
"2132","Saint Kitts and Nevis","KNA","AMRO","High income",2032,2463,"6-59mo"
"2133","San Marino","SMR","EURO","High income",2032,1057.5,"6-59mo"
"2134","Tuvalu","TUV","WPRO","Upper middle income",2032,817,"6-59mo"
"2135","Afghanistan","AFG","EMRO","Low income",2033,7627612,"6-59mo"
"2136","Albania","ALB","EURO","Upper middle income",2033,110069.5,"6-59mo"
"2137","Algeria","DZA","AFRO","Lower middle income",2033,3793038.5,"6-59mo"
"2138","Angola","AGO","AFRO","Lower middle income",2033,7545331,"6-59mo"
"2139","Argentina","ARG","AMRO","Upper middle income",2033,2570860,"6-59mo"
"2140","Armenia","ARM","EURO","Upper middle income",2033,140737,"6-59mo"
"2141","Australia","AUS","WPRO","High income",2033,1535488,"6-59mo"
"2142","Austria","AUT","EURO","High income",2033,354911,"6-59mo"
"2143","Azerbaijan","AZE","EURO","Upper middle income",2033,613990.5,"6-59mo"
"2144","Bahamas","BHS","AMRO","High income",2033,21055.5,"6-59mo"
"2145","Bahrain","BHR","EMRO","High income",2033,109665.5,"6-59mo"
"2146","Bangladesh","BGD","SEARO","Lower middle income",2033,15885823,"6-59mo"
"2147","Barbados","BRB","AMRO","High income",2033,14790.5,"6-59mo"
"2148","Belarus","BLR","EURO","Upper middle income",2033,293118,"6-59mo"
"2149","Belgium","BEL","EURO","High income",2033,509881,"6-59mo"
"2150","Belize","BLZ","AMRO","Upper middle income",2033,35509.5,"6-59mo"
"2151","Benin","BEN","AFRO","Lower middle income",2033,2436540,"6-59mo"
"2152","Bhutan","BTN","SEARO","Lower middle income",2033,47464,"6-59mo"
"2153","Bolivia","BOL","AMRO","Lower middle income",2033,1266276,"6-59mo"
"2154","Bosnia and Herzegovina","BIH","EURO","Upper middle income",2033,114135,"6-59mo"
"2155","Botswana","BWA","AFRO","Upper middle income",2033,284758,"6-59mo"
"2156","Brazil","BRA","AMRO","Upper middle income",2033,11725857.5,"6-59mo"
"2157","Brunei Darussalam","BRN","WPRO","High income",2033,28167,"6-59mo"
"2158","Bulgaria","BGR","EURO","Upper middle income",2033,273013,"6-59mo"
"2159","Burkina Faso","BFA","AFRO","Low income",2033,3641096.5,"6-59mo"
"2160","Burundi","BDI","AFRO","Low income",2033,2426919,"6-59mo"
"2161","Cambodia","KHM","WPRO","Lower middle income",2033,1692393.5,"6-59mo"
"2162","Cameroon","CMR","AFRO","Lower middle income",2033,4977824.5,"6-59mo"
"2163","Canada","CAN","AMRO","High income",2033,1901947.5,"6-59mo"
"2164","Cape Verde","CPV","AFRO","Lower middle income",2033,30575.5,"6-59mo"
"2165","Central African Republic","CAF","AFRO","Low income",2033,1273526,"6-59mo"
"2166","Chad","TCD","AFRO","Low income",2033,4420194.5,"6-59mo"
"2167","Chile","CHL","AMRO","High income",2033,837378,"6-59mo"
"2168","China","CHN","WPRO","Upper middle income",2033,41531226,"6-59mo"
"2169","Colombia","COL","AMRO","Upper middle income",2033,3262216,"6-59mo"
"2170","Comoros","COM","AFRO","Lower middle income",2033,121124,"6-59mo"
"2171","Congo","COG","AFRO","Lower middle income",2033,1048763,"6-59mo"
"2172","Costa Rica","CRI","AMRO","Upper middle income",2033,243371.5,"6-59mo"
"2173","Côte d'Ivoire","CIV","AFRO","Lower middle income",2033,5218692,"6-59mo"
"2174","Croatia","HRV","EURO","High income",2033,147531.5,"6-59mo"
"2175","Cuba","CUB","AMRO","Upper middle income",2033,433168.5,"6-59mo"
"2176","Cyprus","CYP","EURO","High income",2033,64762.5,"6-59mo"
"2177","Czech Republic","CZE","EURO","High income",2033,409489,"6-59mo"
"2178","Democratic Peoples Republic of Korea","PRK","SEARO","Low income",2033,1467160.5,"6-59mo"
"2179","Democratic Republic of the Congo","COD","AFRO","Low income",2033,23607704,"6-59mo"
"2180","Denmark","DNK","EURO","High income",2033,302956,"6-59mo"
"2181","Djibouti","DJI","EMRO","Lower middle income",2033,119806,"6-59mo"
"2182","Dominica","DMA","AMRO","Upper middle income",2033,3176,"6-59mo"
"2183","Dominican Republic","DOM","AMRO","Upper middle income",2033,912843.5,"6-59mo"
"2184","Ecuador","ECU","AMRO","Upper middle income",2033,1307741,"6-59mo"
"2185","Egypt","EGY","EMRO","Lower middle income",2033,12555564,"6-59mo"
"2186","El Salvador","SLV","AMRO","Upper middle income",2033,453066,"6-59mo"
"2187","Equatorial Guinea","GNQ","AFRO","Upper middle income",2033,289639.5,"6-59mo"
"2188","Eritrea","ERI","AFRO","Low income",2033,547011.5,"6-59mo"
"2189","Estonia","EST","EURO","High income",2033,47827,"6-59mo"
"2190","Eswatini","SWZ","AFRO","Lower middle income",2033,134825,"6-59mo"
"2191","Ethiopia","ETH","AFRO","Low income",2033,21057648,"6-59mo"
"2192","Fiji","FJI","WPRO","Upper middle income",2033,77711,"6-59mo"
"2193","Finland","FIN","EURO","High income",2033,220692,"6-59mo"
"2194","France","FRA","EURO","High income",2033,3260541.5,"6-59mo"
"2195","Gabon","GAB","AFRO","Upper middle income",2033,350903.5,"6-59mo"
"2196","Gambia","GMB","AFRO","Low income",2033,401844.5,"6-59mo"
"2197","Georgia","GEO","EURO","Upper middle income",2033,197889.5,"6-59mo"
"2198","Germany","DEU","EURO","High income",2033,3313212,"6-59mo"
"2199","Ghana","GHA","AFRO","Lower middle income",2033,4518889,"6-59mo"
"2200","Greece","GRC","EURO","High income",2033,332788.5,"6-59mo"
"2201","Grenada","GRD","AMRO","Upper middle income",2033,6031.5,"6-59mo"
"2202","Guatemala","GTM","AMRO","Upper middle income",2033,1871265.5,"6-59mo"
"2203","Guinea","GIN","AFRO","Lower middle income",2033,2357387,"6-59mo"
"2204","Guinea-Bissau","GNB","AFRO","Low income",2033,322522.5,"6-59mo"
"2205","Guyana","GUY","AMRO","High income",2033,74583,"6-59mo"
"2206","Haiti","HTI","AMRO","Lower middle income",2033,1203882.5,"6-59mo"
"2207","Honduras","HND","AMRO","Lower middle income",2033,1143357,"6-59mo"
"2208","Hungary","HUN","EURO","High income",2033,401328.5,"6-59mo"
"2209","Iceland","ISL","EURO","High income",2033,21306.5,"6-59mo"
"2210","India","IND","SEARO","Lower middle income",2033,109965777.5,"6-59mo"
"2211","Indonesia","IDN","SEARO","Upper middle income",2033,21398844,"6-59mo"
"2212","Iran, Islamic Republic of","IRN","EMRO","Lower middle income",2033,5136198,"6-59mo"
"2213","Iraq","IRQ","EMRO","Upper middle income",2033,6172302,"6-59mo"
"2214","Ireland","IRL","EURO","High income",2033,281145,"6-59mo"
"2215","Israel","ISR","EURO","High income",2033,893071,"6-59mo"
"2216","Italy","ITA","EURO","High income",2033,1886470,"6-59mo"
"2217","Jamaica","JAM","AMRO","Upper middle income",2033,139008,"6-59mo"
